代码	名称	细分行业	地区	上市日期
000920	南方汇通	环境保护	贵州	19990616
000921	海信科龙	家用电器	广东	19990713
000922	佳电股份	电气设备	黑龙江	19990618
000923	河北宣工	工程机械	河北	19990714
000925	众合科技	专用机械	浙江	19990611
000926	福星股份	区域地产	湖北	19990618
000927	一汽夏利	汽车整车	天津	19990727
000928	中钢国际	建筑施工	吉林	19990312
000929	兰州黄河	啤酒	甘肃	19990623
000930	中粮生化	农业综合	安徽	19990712
000931	中 关 村	区域地产	北京	19990712
000932	华菱钢铁	普钢	湖南	19990803
000933	*ST神火	煤炭开采	河南	19990831
000935	四川双马	水泥	四川	19990824
000936	华西股份	化纤	江苏	19990810
000937	冀中能源	煤炭开采	河北	19990909
000938	紫光股份	软件服务	北京	19991104
000939	凯迪生态	新型电力	湖北	19990923
000948	南天信息	软件服务	云南	19991014
000949	新乡化纤	化纤	河南	19991021
000950	*ST建峰	农药化肥	重庆	19990916
000951	中国重汽	汽车整车	山东	19991125
000952	广济药业	化学制药	湖北	19991112
000953	*ST河化	农药化肥	广西	19991202
000955	欣龙控股	纺织	海南	19991209
000957	中通客车	汽车整车	山东	20000113
000958	东方能源	火力发电	河北	19991223
000959	首钢股份	普钢	北京	19991216
000960	锡业股份	小金属	云南	20000221
000961	中南建设	建筑施工	江苏	20000301
000962	*ST东钽	小金属	宁夏	20000120
000963	华东医药	化学制药	浙江	20000127
000965	天保基建	区域地产	天津	20000406
000966	长源电力	火力发电	湖北	20000316
000967	盈峰环境	电气设备	浙江	20000330
000968	*ST煤气	煤炭开采	山西	20000622
000969	安泰科技	钢加工	北京	20000529
000970	中科三环	元器件	北京	20000420
000971	高升控股	互联网	湖北	20000427
000972	中基健康	食品	新疆	20000926
000973	佛塑科技	塑料	广东	20000525
000975	银泰资源	铅锌	内蒙	20000608
000976	春晖股份	化纤	广东	20000601
000977	浪潮信息	电脑设备	山东	20000608
000978	桂林旅游	旅游景点	广西	20000518
000979	中弘股份	区域地产	安徽	20000616
000980	金马股份	汽车配件	安徽	20000616
000981	银亿股份	区域地产	甘肃	20000622
000982	中银绒业	纺织	宁夏	20000706
000983	西山煤电	煤炭开采	山西	20000726
000985	大庆华科	化工原料	黑龙江	20000726
000987	越秀金控	多元金融	广东	20000718
000988	华工科技	电器仪表	湖北	20000608
000989	九 芝 堂	中成药	湖南	20000628
000990	诚志股份	化工原料	江西	20000706
000993	闽东电力	水力发电	福建	20000731
000995	*ST皇台	白酒	甘肃	20000807
000996	中国中期	公路	北京	20000718
000997	新 大 陆	软件服务	福建	20000807
000998	隆平高科	种植业	湖南	20001211
000999	华润三九	中成药	深圳	20000309
001696	宗申动力	摩托车	重庆	19970306
001896	豫能控股	火力发电	河南	19980122
001979	招商蛇口	全国地产	深圳	20151230
002001	新 和 成	化学制药	浙江	20040625
002002	鸿达兴业	化工原料	江苏	20040625
002003	伟星股份	服饰	浙江	20040625
002004	华邦健康	化学制药	重庆	20040625
002005	德豪润达	家用电器	广东	20040625
002006	精功科技	专用机械	浙江	20040625
002007	华兰生物	生物制药	河南	20040625
002008	大族激光	电器仪表	深圳	20040625
002009	天奇股份	工程机械	江苏	20040629
002010	传化智联	染料涂料	浙江	20040629
002011	盾安环境	工程机械	浙江	20040705
002012	凯恩股份	造纸	浙江	20040705
002013	中航机电	航空	湖北	20040705
002014	永新股份	塑料	安徽	20040708
002015	霞客环保	化纤	江苏	20040708
002016	世荣兆业	区域地产	广东	20040708
002017	东信和平	通信设备	广东	20040713
002018	华信国际	农药化肥	安徽	20040713
002019	亿帆医药	化学制药	浙江	20040713
002020	京新药业	化学制药	浙江	20040715
002021	中捷资源	纺织机械	浙江	20040715
002022	科华生物	医疗保健	上海	20040721
002023	海特高新	航空	四川	20040721
002024	苏宁云商	电器连锁	江苏	20040721
002025	航天电器	元器件	贵州	20040726
002026	山东威达	机械基件	山东	20040727
002027	分众传媒	软件服务	广东	20040804
002028	思源电气	电气设备	上海	20040805
002029	七 匹 狼	服饰	福建	20040806
002030	达安基因	生物制药	广东	20040809
002031	巨轮智能	汽车配件	广东	20040816
002032	苏 泊 尔	家用电器	浙江	20040817
002033	丽江旅游	旅游景点	云南	20040825
002034	美 欣 达	纺织	浙江	20040826
002035	华帝股份	家用电器	广东	20040901
002036	联创电子	元器件	浙江	20040903
002037	久联发展	化工原料	贵州	20040908
002038	双鹭药业	生物制药	北京	20040909
002039	黔源电力	水力发电	贵州	20050303
002040	南 京 港	港口	江苏	20050325
002041	登海种业	种植业	山东	20050418
002042	华孚色纺	纺织	安徽	20050427
002043	兔 宝 宝	其他建材	浙江	20050510
002044	美年健康	医疗保健	江苏	20050518
002045	国光电器	元器件	广东	20050523
002046	轴研科技	机械基件	河南	20050526
002047	宝鹰股份	装修装饰	深圳	20050531
002048	宁波华翔	汽车配件	浙江	20050603
002049	紫光国芯	元器件	河北	20050606
002050	三花智控	机械基件	浙江	20050607
002051	中工国际	建筑施工	北京	20060619
002052	同洲电子	通信设备	深圳	20060627
002053	云南能投	食品	云南	20060627
002054	德美化工	化工原料	广东	20060725
002055	得润电子	元器件	深圳	20060725
002056	横店东磁	元器件	浙江	20060802
002057	中钢天源	元器件	安徽	20060802
002058	威 尔 泰	电器仪表	上海	20060802
002059	云南旅游	旅游景点	云南	20060810
002060	粤 水 电	建筑施工	广东	20060810
002061	江山化工	化工原料	浙江	20060816
002062	宏润建设	建筑施工	浙江	20060816
002063	远光软件	软件服务	广东	20060823
002064	华峰氨纶	化纤	浙江	20060823
002065	东华软件	软件服务	北京	20060823
002066	瑞泰科技	其他建材	北京	20060823
002067	景兴纸业	造纸	浙江	20060915
002068	黑猫股份	化工原料	江西	20060915
002069	*ST獐岛	渔业	辽宁	20060928
002070	众和股份	纺织	福建	20061012
002071	长城影视	影视音像	江苏	20061012
002072	凯瑞德	纺织	山东	20061018
002073	软控股份	软件服务	山东	20061018
002074	国轩高科	电气设备	江苏	20061018
002075	沙钢股份	特种钢	江苏	20061025
002076	雪 莱 特	家用电器	广东	20061025
002077	大港股份	区域地产	江苏	20061116
002078	太阳纸业	造纸	山东	20061116
002079	苏州固锝	半导体	江苏	20061116
002080	中材科技	化纤	江苏	20061120
002081	金 螳 螂	装修装饰	江苏	20061120
002082	栋梁新材	铝	浙江	20061120
002083	孚日股份	纺织	山东	20061124
002084	海鸥卫浴	家居用品	广东	20061124
002085	万丰奥威	汽车配件	浙江	20061128
002086	东方海洋	渔业	山东	20061128
